T/1	Light/1	Pupil/3			PupilUpregulated/3			
222	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
223	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
224	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
225	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
226	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
227	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
228	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
229	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
230	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
231	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
232	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
233	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
234	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
235	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
236	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
237	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
238	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
239	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
240	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
241	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
242	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
243	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
244	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
245	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
246	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
247	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
248	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
249	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
250	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
251	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
252	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
253	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
254	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
255	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
